iter	MultiClass
0	1.027012361
1	0.9636549561
2	0.9065755391
3	0.8551299159
4	0.8086908708
5	0.7659291942
6	0.7267254198
7	0.6907221146
8	0.6573844874
9	0.6266832859
10	0.597824924
11	0.5709797463
12	0.5460843766
13	0.5228176563
14	0.5009294624
15	0.4805340627
16	0.4613739763
17	0.4433806324
18	0.4262045108
19	0.4103781253
20	0.3951465478
21	0.3807871066
22	0.3671650465
23	0.3544860846
24	0.3422527019
25	0.3306715367
26	0.3196847842
27	0.309445712
28	0.2997570471
29	0.2906011214
30	0.2818378679
31	0.273505856
32	0.2654323743
33	0.2577536302
34	0.2504433289
35	0.2435825295
36	0.2369633926
37	0.2306938165
38	0.2247721935
39	0.2190850896
40	0.2137632413
41	0.2085496983
42	0.2035486915
43	0.1989033579
44	0.1944102366
45	0.1900565827
46	0.1860312286
47	0.1820522126
48	0.178357127
49	0.1747292924
50	0.1712655731
51	0.168000235
52	0.1649296604
53	0.1620184823
54	0.1592119974
55	0.1564536242
56	0.1538033946
57	0.1512683762
58	0.1488493595
59	0.1465193899
60	0.1443479271
61	0.1423183767
62	0.1403296016
63	0.1384301868
64	0.1365700614
65	0.1348434578
66	0.1331560945
67	0.1315006378
68	0.1301240669
69	0.1287693933
70	0.1273528837
71	0.1260072856
72	0.1246296302
73	0.1233569418
74	0.1221485009
75	0.1211985237
76	0.1201989744
77	0.1192170787
78	0.1181833337
79	0.1171884908
80	0.1164523128
81	0.1156578207
82	0.1148029747
83	0.1139593934
84	0.1132370033
85	0.1124482854
86	0.1117721601
87	0.1111361594
88	0.110423916
89	0.1098158588
90	0.1092005091
91	0.1086541085
92	0.1080382638
93	0.1075325598
94	0.1071676422
95	0.1065855706
96	0.1061447387
97	0.1057054601
98	0.105353971
99	0.105005241
100	0.1046079808
101	0.104182191
102	0.1037585015
103	0.1034098406
104	0.103046238
105	0.1026900993
106	0.102463974
107	0.1022386787
108	0.1020400463
109	0.1017407654
110	0.1014081128
111	0.1012017876
112	0.1008986551
113	0.1006230892
114	0.1003717936
115	0.1001886718
116	0.100068469
117	0.09993573012
118	0.09975357697
119	0.09953683309
120	0.09937862637
121	0.09932472446
122	0.09911450732
123	0.09897614132
124	0.09884772484
125	0.09870784278
126	0.09847692196
127	0.098325319
128	0.09818513944
129	0.09799687029
130	0.09778523905
131	0.09762240229
132	0.09750618453
133	0.09744556244
134	0.09735501348
135	0.09728831016
136	0.09711494349
137	0.09691442422
138	0.0967853558
139	0.09664502628
140	0.09653123092
141	0.09646263812
142	0.09633051375
143	0.09616629257
144	0.09601723803
145	0.0959606622
146	0.09585862861
147	0.09577856414
148	0.09564169841
149	0.09552606106
150	0.09544929909
151	0.09535858171
152	0.09525033234
153	0.09513539369
154	0.09505846134
155	0.09487996367
156	0.09474744772
157	0.09461735967
158	0.09449152097
159	0.09444292212
160	0.09438735492
161	0.09428136637
162	0.09423030888
163	0.09410817725
164	0.09405198446
165	0.09395145962
166	0.09384146147
167	0.09378165751
168	0.0937025046
169	0.09362776167
170	0.0935890877
171	0.09347590817
172	0.09340599024
173	0.09331309712
174	0.09326876045
175	0.09321316754
176	0.09314678353
177	0.09310597204
178	0.09304729237
179	0.09291166097
180	0.09284826009
181	0.09276279696
182	0.09267035682
183	0.09260709746
184	0.09252654912
185	0.09246137003
186	0.0923658546
187	0.09225590523
188	0.09220291866
189	0.0921428152
190	0.09209745322
191	0.09204912274
192	0.09196416578
193	0.09191639938
194	0.09187103168
195	0.09179863323
196	0.09173700842
197	0.09167524953
198	0.09154339885
199	0.09150344722
200	0.09146291462
201	0.09137032751
202	0.09131042166
203	0.09123875828
204	0.09113528606
205	0.09107430187
206	0.09103071792
207	0.09097492697
208	0.09088657763
209	0.09083410878
210	0.09076978938
211	0.09073015574
212	0.09065251171
213	0.0906088412
214	0.09052259828
215	0.09043759654
216	0.09036789012
217	0.0902698749
218	0.09022859062
219	0.09016304819
220	0.09010134198
221	0.0900371835
222	0.0899716953
223	0.08993235555
224	0.08988557611
225	0.08979898707
226	0.08968821898
227	0.08962347737
228	0.08955478437
229	0.08949887293
230	0.08946655978
231	0.08943213218
232	0.08938885205
233	0.08933893322
234	0.08928762002
235	0.08925245491
236	0.08918819962
237	0.08913305767
238	0.08905985558
239	0.08900724924
240	0.0889653347
241	0.08889335954
