iter	MultiClass
0	1.027020816
1	0.9637941004
2	0.9068395572
3	0.8555760295
4	0.8089562725
5	0.7663803062
6	0.7273850214
7	0.6912926187
8	0.6580491555
9	0.6272519466
10	0.5985528432
11	0.5718602189
12	0.5471943585
13	0.5241006436
14	0.5023604583
15	0.4816204835
16	0.4625146693
17	0.4443285233
18	0.4271341669
19	0.4111503647
20	0.3958210513
21	0.3816541742
22	0.3680987537
23	0.3553629844
24	0.3431733285
25	0.3316715308
26	0.3208841097
27	0.3104384404
28	0.3005765384
29	0.2912585841
30	0.2823592744
31	0.2738747761
32	0.2658192685
33	0.2581324868
34	0.2508740238
35	0.2439625124
36	0.2373309514
37	0.2310694491
38	0.2251573896
39	0.2194665169
40	0.213990898
41	0.2088475411
42	0.2040742273
43	0.1994540694
44	0.1949031576
45	0.190564372
46	0.1864749125
47	0.1825870433
48	0.1788367905
49	0.175394429
50	0.1719316295
51	0.1687658297
52	0.1656966752
53	0.1627850081
54	0.1599609747
55	0.1572957674
56	0.1546128532
57	0.1521178152
58	0.1496628463
59	0.147438972
60	0.1452550593
61	0.1431448066
62	0.1411443217
63	0.139260524
64	0.1373940365
65	0.1355868936
66	0.1339000041
67	0.1323378039
68	0.1307949215
69	0.1293345959
70	0.1279728967
71	0.1266626927
72	0.1253893022
73	0.1241418337
74	0.1228967477
75	0.1218966022
76	0.1208329373
77	0.1198001663
78	0.1189320381
79	0.1179747083
80	0.1171188724
81	0.1162479928
82	0.1154771141
83	0.1145955882
84	0.1139236544
85	0.1132609387
86	0.1125169598
87	0.1118059094
88	0.1112238513
89	0.110636007
90	0.1100176883
91	0.1095370808
92	0.1089911778
93	0.108570548
94	0.1080324537
95	0.1074933891
96	0.107024646
97	0.1065833749
98	0.1061362564
99	0.1058012167
100	0.1053909416
101	0.1050063305
102	0.1046584645
103	0.104245966
104	0.1038720133
105	0.1035801069
106	0.1032667818
107	0.1029818351
108	0.1026740377
109	0.1024373298
110	0.1022346006
111	0.1019318184
112	0.1016713926
113	0.1014946399
114	0.1012910124
115	0.1010903943
116	0.1009525199
117	0.100793162
118	0.1006366409
119	0.1004267759
120	0.1002572749
121	0.1001596329
122	0.09995529212
123	0.09983996757
124	0.09973029345
125	0.09965306117
126	0.09949240252
127	0.09940293525
128	0.09926968776
129	0.09908812732
130	0.09895277289
131	0.0987981112
132	0.09863515467
133	0.09852581977
134	0.09837170744
135	0.09819398428
136	0.09814094704
137	0.09805788762
138	0.09787487967
139	0.09771582605
140	0.09757697557
141	0.0974640919
142	0.0973843286
143	0.09718515462
144	0.09708478521
145	0.09701603475
146	0.09689455199
147	0.09681412361
148	0.09672760023
149	0.09664406363
150	0.09657238578
151	0.09649979864
152	0.09642741757
153	0.09631843049
154	0.09624480977
155	0.09614208173
156	0.09604991403
157	0.09598350216
158	0.09589309465
159	0.09579862066
160	0.09568390563
161	0.09553494212
162	0.09548832853
163	0.09535480711
164	0.09522357235
165	0.09514945603
166	0.09506515606
167	0.0950168497
168	0.09495792036
169	0.09485982264
170	0.09481937975
171	0.0946941844
172	0.09448844537
173	0.09440261338
174	0.09433632111
175	0.09424610483
176	0.09418618227
177	0.09406614024
178	0.09401112638
179	0.09396809384
180	0.09390234409
181	0.09379875647
182	0.09368475349
183	0.09364787257
184	0.09353344043
185	0.09346075851
186	0.09338529913
187	0.09331562322
188	0.09322537775
189	0.09309411731
190	0.09304814679
191	0.0929593136
192	0.09290883884
193	0.09285034436
194	0.09275000858
195	0.09267861157
196	0.09261830387
197	0.09256737823
198	0.09248904362
199	0.09241020007
200	0.09236612503
201	0.09227201003
202	0.09221185692
203	0.09211945929
204	0.09207643715
205	0.09200295019
206	0.09195217202
207	0.09189829055
208	0.09183895684
209	0.09177422767
210	0.09171594502
211	0.09167293356
212	0.09161309842
213	0.09151876694
214	0.09148975513
215	0.09138900969
216	0.09132458869
217	0.09128857838
218	0.0911918303
219	0.09115912985
220	0.09110334066
221	0.09096164435
222	0.09085044443
223	0.09079405887
224	0.09073688516
225	0.09070276877
226	0.09065693763
227	0.09059477456
228	0.0905535578
229	0.09051165749
230	0.09046841887
231	0.09042232223
232	0.09036236259
233	0.09032989986
234	0.09029325536
235	0.09025460864
236	0.09020505923
237	0.09012712284
238	0.09007580953
239	0.09002152057
240	0.08996838835
241	0.08992782161
242	0.0898903341
243	0.08984008844
244	0.08977837683
245	0.089680934
246	0.08961174609
247	0.0895415171
248	0.08948383466
249	0.08939988997
250	0.08935860177
251	0.08933055717
252	0.0892834871
253	0.08923400859
254	0.08918463643
255	0.08914426315
256	0.08906533226
257	0.08899132246
